start_timestamp,end_timestamp,text
00:00:04,00:00:08, So it is a try and look at what all things we have been done.
00:00:11,00:00:22," So as part of our journey we learned that we have to follow Chris DM or the latest one is Chris and mal que methodology, let me write crisper and Q amp D."
00:00:24,00:00:29, And as part of this process management methodology six phases or six steps are there.
00:00:31,00:00:34, And the first one is business and data understand that.
00:00:36,00:00:40, This is more about gathering requirements and doing the planning.
00:00:42,00:00:43, So here we have.
00:00:45,00:00:45, planning.
00:00:47,00:00:49, Gathering planning and researching this.
00:00:50,00:00:55," posters, we learned about data pre processing."
00:00:59,00:01:09," This is where we try to clean the data modify the data, if required, so we are we're basically doing a lot of manipulation syrup with respect to the data that we get and had."
00:01:11,00:01:14, This is the most time consuming step.
00:01:15,00:01:15, That.
00:01:17,00:01:19, time consuming step.
00:01:21,00:01:22, After data processing.
00:01:24,00:01:27, We come to data mining steps.
00:01:28,00:01:32, And this is where we are actually currently working with operating.
00:01:33,00:01:37," Under data mining, we learned that there are unsupervised learning."
00:01:41,00:01:44, Here we are not trying to do predict right.
00:01:46,00:01:51," There is nothing like predicting any specific variable, so we will say bye is not known."
00:01:52,00:01:53, This is not.
00:01:55,00:02:04," So if I don't have labeled the data, then, are not be trying to work for that labeled data right, it is all about identifying the hidden pattern, the date."
00:02:06,00:02:08, And then we can do supervised.
00:02:11,00:02:20," But before I talk about supervised learning, we also analyze that whenever we get the data we start with you need a period analysis."
00:02:21,00:02:32," In order to understand the data and understand the details matter we try to look at uni variance analysis one variable at a time, and we do add on top of that, and by visualization."
00:02:33,00:02:35, graphical representations.
00:02:36,00:02:39, Post this we go to by various visualization.
00:02:41,00:02:46," This is where we talked about two variables, taken together, will try to visualize it using scattered back."
00:02:47,00:02:49, or try to identify the Cross table.
00:02:51,00:02:55, Right confusion matrix kind of a thing we will get a pivot table.
00:02:57,00:03:00, Then we have multivariate analysis.
00:03:03,00:03:06, So while while we were doing these things.
00:03:07,00:03:17," That we learned about various techniques, for example, all the unsupervised learning techniques are basically the techniques for doing the analysis in multi variable case."
00:03:20,00:03:30, So clustering dimension deductions and all those concepts that we discussed association rules for all of them are for falling under you need a nexus.
00:03:32,00:03:33, Post this.
00:03:35,00:03:50," Right post, the analysis, we will also want to identify or predict the results and that's where we basically talked about supervised learning, and here we are saying label to data is there, so that is why he is known."
00:03:52,00:03:57," Because I know what is the result, try to establish the relationship between the existing factors and."
00:03:59,00:03:59, Dubai.
00:04:03,00:04:05, Right now under this scenario.
00:04:07,00:04:10," If I have to predict why, which is numeric."
00:04:12,00:04:18," Then we apply something called as regression techniques, and this is what we have to start learning."
00:04:19,00:04:21, If I is non human.
00:04:25,00:04:30, If I is non numeric then we look into classification.
00:04:33,00:04:39, Classification techniques to a numeric non numeric regression or classification.
00:04:41,00:04:44," Under classification techniques, we learned about."
00:04:45,00:05:00," knife based technique which runs on probability based concepts conditional probability, then we looked at K N, which stands on the distance logic nearest neighbor and then we discussed about decision to this."
00:05:02,00:05:05, This is a rules based concepts.
00:05:06,00:05:08, We also talked about.
00:05:09,00:05:13, The complex models of n simple techniques.
00:05:16,00:05:24," That we looked at and several techniques, this is nothing but a combination of multiple models and in and sample techniques."
00:05:25,00:05:28," In and simple techniques, we looked at."
00:05:29,00:05:31, four different variations.
00:05:32,00:05:33, Voting.
00:05:34,00:05:35, stacking.
00:05:38,00:05:39, three models bagging.
00:05:41,00:05:43," And finally, we had boosted."
00:05:44,00:05:49, Voting and starting can be non three more based models as well.
00:05:50,00:05:51," Sir, sir."
00:05:52,00:06:04, yeah so even like I was like looking at the fedex data set so like you know we were asked to give you know evaluate or use the data set on different models and like.
00:06:04,00:06:20," Tell like whichever model is having the highest accuracy like we can deploy that model so yeah like we can like use separately can and knife base and all or we can do, stalking as well, no so like if you're just stalking obviously the accuracy will be much more than the individual."
00:06:20,00:06:21," No, no, no, no, no, no, no."
00:06:21,00:06:24, How can you say that stacking will improve the molecules.
00:06:25,00:06:32," Logically, should be but let's say if I have model, one model to model three."
00:06:33,00:06:34,three models are there.
00:06:35,00:06:37, Which are individually predicting on your fedex.
00:06:39,00:06:40, OK OK.
00:06:41,00:06:46," So this will give me reserved one, this will give me reserve to this is giving me reserve."
00:06:49,00:06:54," Now, what we are trying to find out is the value of our variable of our interest correct."
00:06:54,00:06:55," Yes, so as you."
00:06:56,00:07:02," This model, one is giving very good result that is a very good, it is very close to the actual data."
00:07:03,00:07:10," Okay, but these two are not so good they're deviating from the original."
00:07:11,00:07:16," Okay, now, when you apply Meta modern final model."
00:07:18,00:07:21, they're basically taking these as inputs and trying to predict why.
00:07:23,00:07:23, The final result.
00:07:24,00:07:25, Okay.
00:07:26,00:07:38," But because these two results are two and three are very, very deviating from the original data when you do average this good result will also be pulled away."
00:07:39,00:07:41," Yes, yes okay so."
00:07:41,00:07:43, This challenge will always be there when you're doing.
00:07:44,00:07:51, your thoughts are on that that is the reason why we evaluate individual models also.
00:07:53,00:07:53, Okay.
00:07:53,00:07:57, And then we compare it with a final assemble model.
00:07:59,00:08:04," So what if we need to do the individual products check individually and again to stalking also and then, once again verified."
00:08:05,00:08:05,Yes.
00:08:07,00:08:07, i've seen.
00:08:08,00:08:21, And like so it's like the problem statement is like are not correctly precisely what do you want is not like correctly given so it's like can we do like our own stuff like we can also have network analytics right because it's like source.
00:08:21,00:08:22, In this.
00:08:22,00:08:23," nation is there, so we can do that."
00:08:24,00:08:24,We can.
00:08:25,00:08:26, yeah he's a logic.
00:08:26,00:08:34, The logic of fedex data set right given as a project is for you people to do many things.
00:08:35,00:08:39, So many things you have to also do business understanding.
00:08:39,00:08:40, Yes.
00:08:40,00:08:50," misunderstanding So yes, so i've created a separate document so it's like i've written the what they call the objective like minimize maximize constraint, then prepare the data dictionary."
